,dBA
25 Hz,-33.382153846153855
31.5 Hz,-23.610461538461546
40 Hz,-8.65843076923077
50 Hz,6.305661538461539
63 Hz,17.54427692307693
80 Hz,19.442553846153842
100 Hz,16.57843076923079
125 Hz,20.533661538461526
160 Hz,23.010092307692315
200 Hz,26.876369230769235
250 Hz,29.86129230769232
315 Hz,30.635230769230766
400 Hz,45.601384615384575
500 Hz,59.159138461538475
630 Hz,64.05255384615381
800 Hz,71.64787692307692
1000 Hz,76.1806153846154
1250 Hz,69.40446153846156
1600 Hz,64.44756923076925
2000 Hz,58.50799999999998
2500 Hz,54.102092307692295
3150 Hz,56.573507692307714
4000 Hz,50.05852307692308
5000 Hz,48.740030769230785
6300 Hz,49.83292307692309
8000 Hz,42.20747692307696
10000 Hz,42.337261538461526
12500 Hz,32.678184615384616
16000 Hz,36.73113846153847
Global,78.64126153846144
